CODCOMP_STR,POBLACION
0106101602,7486.0
0106101700,3434.0
0106102001,1936.0
0106102004,1717.0
0106102005,3186.0
0106102007,3582.0
0106102008,2880.0
0106102011,525.0
0106102012,3211.0
0106102400,0.0
0106102600,2016.0
0106103001,0.0
0106103002,3857.0
0106103003,420.0
0106103006,2090.0
0106103007,2440.0
0106103010,3154.0
0106103011,2508.0
0106104001,7282.0
0106104005,920.0
0106104009,3297.0
0106104010,7458.0
0106201004,2016.0
0106201005,1224.0
0106201009,2584.0
0106201012,0.0
0106201013,2900.0
0106201014,2603.0
0106201017,2260.0
0106201018,3325.0
0106201400,0.0
0106201401,0.0
0106201600,2413.0
0106201601,10526.0
0106202003,390.0
0106202006,6320.0
0106202009,3942.0
0106202010,3728.0
0106202013,3648.0
0106202014,4503.0
0106202015,2856.0
0106203004,1580.0
0106203005,2934.0
0106203008,5160.0
0106203009,4122.0
0106203012,1700.0
0106203013,2480.0
0106204002,7098.0
0106204003,3960.0
0106204004,2502.0
0106204006,5175.0
0106204008,4242.0
0106304007,3234.0
0106304011,6930.0
0106304012,8160.0
0107001001,1442.0
0107001002,2613.0
0107001003,1582.0
0107001004,1728.0
0107001005,616.0
0107001006,1920.0
0107001007,896.0
0107001008,1859.0
0107001009,1680.0
0107001010,130.0
0107001011,1140.0
0107009001,1914.0
0107009002,2124.0
0107009003,2761.0
0107009005,5038.0
0107009006,2220.0
0107009007,0.0
0107009009,0.0
0107009010,1302.0
0107009012,0.0
0107009400,0.0
0107009401,0.0
0107009402,0.0
0107009403,0.0
0107009404,0.0
0107009500,0.0
0107009501,0.0
0107009600,2370.0
0107009601,0.0
0107010001,1500.0
0107010002,0.0
0107010003,2610.0
0107010004,2128.0
0107010005,1848.0
0107010006,2344.0
0107010007,216.0
0107010008,370.0
0107010009,1050.0
0107010400,0.0
0107010401,0.0
0107010402,0.0
0107102001,2895.0
0107102002,2880.0
0107102003,2115.0
0107102006,0.0
0107102007,4828.0
0107102008,2432.0
0107103002,3111.0
0107103003,3528.0
0107103005,8607.0
0107103006,3870.0
0107104001,1581.0
0107104002,1387.0
0107104003,3553.0
0107104004,3781.0
0107104005,5754.0
0107104006,4440.0
0107104007,3200.0
0107105001,5670.0
0107105002,3630.0
0107105003,7524.0
0107105005,5652.0
0107106001,4900.0
0107106002,0.0
0107106003,4400.0
0107106004,4620.0
0107106005,5355.0
0107106006,8272.0
0107106007,1278.0
0107107001,3621.0
0107107002,1944.0
0107107003,2384.0
0107107004,5264.0
0107107005,3952.0
0107107006,416.0
0107107007,1110.0
0107108001,1872.0
0107108002,3762.0
0107108003,2850.0
0107108004,1751.0
0107108005,1140.0
0107108006,2023.0
0107108007,0.0
0107108008,3816.0
0107202004,0.0
0107202005,1536.0
0107202009,2368.0
0107202010,1712.0
0107202011,6462.0
0107202012,3667.0
0107203001,2352.0
0107203004,2376.0
0107203007,9140.0
0107203010,7920.0
0107204008,1980.0
0107204009,4674.0
0107204010,4431.0
0107204011,0.0
0107204012,6270.0
0107205007,3774.0
0107205008,1672.0
0107205009,1836.0
0107205010,5301.0
0107205011,238.0
0107205012,4896.0
0107205013,1422.0
0107205400,0.0
0107205500,0.0
0107205600,340.0
0107205800,3325.0
0107206008,6400.0
0107206009,3528.0
0107206010,6195.0
0107206011,0.0
0107206012,1653.0
0107206013,4066.0
0107206014,4536.0
0107206015,1102.0
0107206016,2940.0
0107207008,2175.0
0107207009,3444.0
0107207010,3780.0
0107207011,3248.0
0107207012,2340.0
0107207013,3094.0
0107208009,2408.0
0107208010,4032.0
0107208011,2144.0
0107208012,0.0
0107208013,0.0
0107208014,1898.0
0107208015,3122.0
0107303008,6100.0
0107303009,3660.0
0107303011,8883.0
0107303012,4788.0
0108001001,0.0
0108001002,376.0
0108001003,0.0
0108001004,0.0
0108001005,98.0
0108001006,0.0
0108001007,0.0
0108001008,0.0
0108001009,0.0
0108001010,0.0
0108002003,120.0
0108002004,292.0
0108002005,162.0
0108002007,580.0
0108002008,162.0
0108002009,214.0
0108002010,52.0
0108002011,0.0
0108002012,332.0
0108002013,144.0
0108002400,0.0
0108002402,0.0
0108002600,28.0
0108002601,456.0
0108002800,372.0
0108003001,102.0
0108003002,176.0
0108003003,1058.0
0108003004,116.0
0108003005,252.0
0108003006,262.0
0108003007,386.0
0108003008,190.0
0108003009,114.0
0108003010,150.0
0108003011,238.0
0108003012,186.0
0108003013,453.0
0108003014,0.0
0108004001,308.0
0108004003,194.0
0108004004,342.0
0108004005,72.0
0108004006,180.0
0108004007,62.0
0108004008,64.0
0108004009,220.0
0108004010,130.0
0108004011,102.0
0108004012,122.0
0108004013,124.0
0108004014,74.0
0108004015,0.0
0108004016,230.0
0108004400,0.0
0108004401,0.0
0108004600,180.0
0108006001,216.0
0108006002,756.0
0108006003,368.0
0108006004,12.0
0108006005,114.0
0108006007,0.0
0108006008,0.0
0108006011,222.0
0108006012,303.0
0108006013,368.0
0108006400,0.0
0108006401,0.0
0108006402,0.0
0108006403,0.0
0108006404,0.0
0108006406,0.0
0108006408,0.0
0108006409,0.0
0108006411,0.0
0108006413,0.0
0108006414,0.0
0108006600,0.0
0108007001,54.0
0108007002,66.0
0108007003,294.0
0108007004,58.0
0108007005,123.0
0108007006,264.0
0108007007,984.0
0108007008,344.0
0108007009,228.0
0108008002,0.0
0108008004,0.0
0108008005,16.0
0108008006,1536.0
0108008007,0.0
0108008008,0.0
0108008009,0.0
0108008010,0.0
0108008800,5.0
0108008801,0.0
0108009001,0.0
0108009002,76.0
0108009003,76.0
0108009004,0.0
0108009005,112.0
0108009006,280.0
0108009007,520.0
0108009008,144.0
0108009009,3.0
0108010003,2.0
0108010004,0.0
0108010005,0.0
0108010006,0.0
0108010007,776.0
0108010008,0.0
0108010009,5525.0
0108010010,52.0
0108010011,390.0
0108010012,80.0
0108010400,0.0
0108010401,0.0
0108010402,0.0
0108010600,0.0
0108012003,840.0
0108012004,12.0
0108012006,660.0
0108012007,300.0
0108012008,412.0
0108012009,308.0
0108012010,0.0
0108012011,428.0
0108012012,372.0
0108012400,0.0
0108012401,0.0
0108012402,0.0
0108012403,0.0
0108012601,496.0
0108012700,248.0
0108013001,865.0
0108013002,480.0
0108013003,928.0
0108013004,1036.0
0108013005,0.0
0108013006,473.0
0108013007,1524.0
0108013008,187.0
0108013009,40.0
0108013011,923.0
0108013012,1638.0
0108013013,1482.0
0108013400,0.0
0108013600,1792.0
0108105001,168.0
0108105002,0.0
0108105003,18.0
0108105004,339.0
0108105005,39.0
0108105006,468.0
0108105007,393.0
0108105008,21.0
0108105009,0.0
0108105010,363.0
0108105012,489.0
0108105013,399.0
0108105400,0.0
0108111001,111.0
0108111003,1532.0
0108111005,948.0
0108111006,1011.0
0108111007,1470.0
0108111008,65.0
0108111009,2748.0
0108111012,902.0
0108111013,1080.0
0108111018,0.0
0108111400,0.0
0108111401,0.0
0108111402,0.0
0108111600,330.0
0108111700,256.0
0108114001,604.0
0108114002,316.0
0108114003,285.0
0108114004,100.0
0108114005,309.0
0108114006,234.0
0108114007,732.0
0108114011,1200.0
0108114012,980.0
0108114013,0.0
0108114014,825.0
0108205011,216.0
0108205014,90.0
0108205015,430.0
0108205016,316.0
0108205017,162.0
0108205018,0.0
0108205019,207.0
0108205020,206.0
0108205021,250.0
0108211011,1431.0
0108211014,1810.0
0108211015,1276.0
0108211016,715.0
0108211017,1078.0
0108211019,7280.0
0108211020,574.0
0108211400,0.0
0108211401,0.0
0108211402,0.0
0108211403,0.0
0108211600,2988.0
0108214009,1200.0
0108214010,2304.0
0108214015,2870.0
0108214400,0.0
0108214600,845.0
0108314016,1990.0
0108314017,891.0
0108314018,990.0
0108314019,1260.0
0108314020,912.0
0108314021,1111.0
0108314022,3180.0
0108314400,0.0
0108314600,4069.0
0109001001,249.0
0109001002,262.0
0109001004,159.0
0109001023,3.0
0109001025,10.0
0109001026,97.0
0109001603,39.0
0109001604,103.0
0109001800,82.0
0109001801,165.0
0109001802,20.0
0109001803,3.0
0109002001,322.0
0109002002,181.0
0109002003,170.0
0109002004,144.0
0109002005,181.0
0109003001,8.0
0109003002,446.0
0109003003,296.0
0109003004,222.0
0109003005,186.0
0109003006,144.0
0109003008,140.0
0109003009,98.0
0109003010,0.0
0109003011,208.0
0109003012,50.0
0109003013,220.0
0109003014,228.0
0109003015,204.0
0109003600,123.0
0109003601,0.0
0109003602,37.0
0109003603,57.0
0109003604,154.0
0109003605,0.0
0109004002,184.0
0109004004,234.0
0109004006,0.0
0109004007,92.0
0109004400,0.0
0109004401,0.0
0109004402,0.0
0109004600,266.0
0109004601,164.0
0109004602,210.0
0109004603,4.0
0109004604,44.0
0109004801,138.0
0109005001,510.0
0109005002,66.0
0109005004,94.0
0109005400,0.0
0109005401,0.0
0109005600,334.0
0109005601,128.0
0109005602,0.0
0109005603,4.0
0109005604,133.0
0109005605,91.0
0109005802,340.0
0109006001,730.0
0109006002,788.0
0109006003,24.0
0109007004,268.0
0109007800,4.0
