NOMBRE,DIRECCION,x,y,POBLACION
DEL NAVIO,Av. del Navio y Lira ,759805.961121201,6160830.75742868,1640.0
DEL PARQUE,18 Julio 126,596895.238498148,6491181.70991196,12804.0
DEL PUEBLO - TACUAREMBO,25 de Mayo 187,596671.943252093,6491116.62912944,15333.0
DEL PUEBLO - VELAZQUEZ,Hilario Gómez y Mario Sobrero,750976.816808518,6230522.28750161,1077.0
DEL REPUBLICA,Luis A. de Herrera y T.y Tres,509426.365933834,6291092.6140598,13933.0
DEL SARANDI,Presidente Berro 550,627526.354463706,6309608.92600973,6008.0
DEMILTON,Angela B. de López 525,544914.578018135,6369897.32481697,9916.0
DERMIT,Francisco Fondar 479,509546.360757417,6291635.01713099,13516.0
DIADRI,Camino Lussich y Firenze,685649.781997292,6136429.67265845,15299.0
DOLORES,Asencio 2199 e/ Alberto Saavedra,387546.871001588,6288248.80001608,7319.0
DOROTTE NORTE,Dr. Roldán esq. Andresito,398259.146869675,6425577.4337005,12902.0
DOS NACIONES,Enrique Amorin 1201 esquina A. Invernizzi,408916.258043618,6528183.57324864,16835.0
DOS VIAS, 19 de Abril 1462,789705.411357546,6211411.45036145,7118.0
DR.DAVISON,Dr. Davison,645110.004640007,6506063.49107324,3811.0
DRABBLE,José Enrique Rodó,450657.951100609,6271141.05360796,1969.0
DUPEST,Independencia 651,572345.638690932,6226661.40539135,18271.0
EL MAGO,Ruta 1 Km. 72 - Artigas 519,518607.912902144,6179617.91866418,2110.0
EL TUNEL,Avelino Miranda 2615 esq Av. Italia,576504.046759143,6138419.79159578,40642.0
EL TUNEL 10,Avda. Gorlero S/N entre parada 28 y 29,687936.44675989,6129398.26880833,2002.0
EL TUNEL 2,Solano Garcia 2569 esq Victor Soliño,576986.993713313,6135100.77661739,32135.0
EL TUNEL 3,26 de Marzo 3397 esq. Julio César,578593.967751789,6137036.63161371,41810.0
EL TUNEL 4,Juan B.Alberdi 6597 esq. Murillo,585569.476436805,6139910.7380464,11598.0
EL TUNEL 5,18 de Julio 945A esq. Río Branco,573445.095084978,6137077.69056866,38768.0
EL TUNEL 5,Hipolito Yrigoyen 1599 esq. Av. Gral. Rivera,581411.692259897,6138642.38538397,29584.0
EL TUNEL 8,Camino Luis Eduardo Pérez 6651 (Sector Polivalente Nº local C - 017),567448.504857376,6146860.09777282,1123.0
EL TUNEL BEBES Y NIÑOS,Avelino Miranda 2605 esq. 8 de Octubre,576466.402028877,6138446.77328096,42023.0
ELISAR,República Argentina 592,572241.598282484,6157019.5865758,18227.0
ELISAR CENTRO,Av. Artigas 629,571668.629558378,6156939.12766983,21023.0
ELTUNEL 9,18 de Julio 1195 esq. Cuareim,573954.764092241,6137113.25902316,55119.0
ENY,José E. Rodó 3654 e/ M.Oribe,572062.221449233,6226361.16401085,17034.0
ESCANDA,Ruta 2 Km. 209.500,450396.201519728,6271266.20417198,1805.0
ESPAÑA,José E.Rodó 1452 esq. L.Macedo,744319.550890575,6320154.85106163,12911.0
ESPONDA,Gral Artigas 163,609378.540389516,6390824.81680592,3483.0
ESTACION ATLANTIDA,Calle El Ibirapitá s/n entre Ruta 11 y El Canelón,613166.844603058,6154808.66517337,3029.0
