CODCOMP,DPTO,NOMDPTO,NOMLOC,P_TOT,CODLOC
"0102003009","01",MONTEVIDEO,MONTEVIDEO,"75","01020"
"0102003010","01",MONTEVIDEO,MONTEVIDEO,"93","01020"
"0102003011","01",MONTEVIDEO,MONTEVIDEO,"275","01020"
"0102004001","01",MONTEVIDEO,MONTEVIDEO,"21","01020"
"0102004002","01",MONTEVIDEO,MONTEVIDEO,"29","01020"
"0102004003","01",MONTEVIDEO,MONTEVIDEO,"102","01020"
"0102004004","01",MONTEVIDEO,MONTEVIDEO,"92","01020"
"0102004005","01",MONTEVIDEO,MONTEVIDEO,"3","01020"
"0102004006","01",MONTEVIDEO,MONTEVIDEO,"20","01020"
"0102004007","01",MONTEVIDEO,MONTEVIDEO,"8","01020"
"0102004008","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0102102001","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0102102002","01",MONTEVIDEO,MONTEVIDEO,"1","01020"
"0102102003","01",MONTEVIDEO,MONTEVIDEO,"53","01020"
"0102102004","01",MONTEVIDEO,MONTEVIDEO,"93","01020"
"0102102005","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0102102006","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0102102007","01",MONTEVIDEO,MONTEVIDEO,"63","01020"
"0102102008","01",MONTEVIDEO,MONTEVIDEO,"154","01020"
"0102102009","01",MONTEVIDEO,MONTEVIDEO,"170","01020"
"0102102013","01",MONTEVIDEO,MONTEVIDEO,"128","01020"
"0102202010","01",MONTEVIDEO,MONTEVIDEO,"11","01020"
"0102202011","01",MONTEVIDEO,MONTEVIDEO,"56","01020"
"0102202012","01",MONTEVIDEO,MONTEVIDEO,"108","01020"
"0102202014","01",MONTEVIDEO,MONTEVIDEO,"13","01020"
"0102202015","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0102202016","01",MONTEVIDEO,MONTEVIDEO,"150","01020"
"0102202017","01",MONTEVIDEO,MONTEVIDEO,"130","01020"
"0102202018","01",MONTEVIDEO,MONTEVIDEO,"169","01020"
"0103003001","01",MONTEVIDEO,MONTEVIDEO,"50","01020"
"0103003002","01",MONTEVIDEO,MONTEVIDEO,"29","01020"
"0103003003","01",MONTEVIDEO,MONTEVIDEO,"16","01020"
"0103003004","01",MONTEVIDEO,MONTEVIDEO,"10","01020"
"0103003005","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0103003006","01",MONTEVIDEO,MONTEVIDEO,"86","01020"
"0103003007","01",MONTEVIDEO,MONTEVIDEO,"93","01020"
"0103003008","01",MONTEVIDEO,MONTEVIDEO,"18","01020"
"0103003009","01",MONTEVIDEO,MONTEVIDEO,"88","01020"
"0103003010","01",MONTEVIDEO,MONTEVIDEO,"194","01020"
"0103101001","01",MONTEVIDEO,MONTEVIDEO,"4","01020"
"0103101002","01",MONTEVIDEO,MONTEVIDEO,"208","01020"
"0103101003","01",MONTEVIDEO,MONTEVIDEO,"178","01020"
"0103101004","01",MONTEVIDEO,MONTEVIDEO,"169","01020"
"0103101010","01",MONTEVIDEO,MONTEVIDEO,"74","01020"
"0103101011","01",MONTEVIDEO,MONTEVIDEO,"184","01020"
"0103101012","01",MONTEVIDEO,MONTEVIDEO,"147","01020"
"0103101400","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0103101401","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0103101402","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0103101500","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0103101501","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0103101600","01",MONTEVIDEO,MONTEVIDEO,"2","01020"
"0103102002","01",MONTEVIDEO,MONTEVIDEO,"25","01020"
"0103102003","01",MONTEVIDEO,MONTEVIDEO,"87","01020"
"0103102004","01",MONTEVIDEO,MONTEVIDEO,"180","01020"
"0103102010","01",MONTEVIDEO,MONTEVIDEO,"195","01020"
"0103102400","01",MONTEVIDEO,MONTEVIDEO,"0","01020"
"0103102600","01",MONTEVIDEO,MONTEVIDEO,"120","01020"
"0103104001","01",MONTEVIDEO,MONTEVIDEO,"245","01020"
"0103104002","01",MONTEVIDEO,MONTEVIDEO,"250","01020"
"0103104012","01",MONTEVIDEO,MONTEVIDEO,"180","01020"
